t_ms,pwm_heater,temp_C
100,100,123.97
200,100,123.97
300,100,123.97
400,100,123.97
500,100,123.97
600,100,123.97
700,100,123.97
800,100,123.97
900,100,123.97
1000,100,123.97
1100,100,123.97
1201,100,123.81
1301,100,123.97
1401,100,123.97
1501,100,123.97
1601,100,123.81
1701,100,123.81
1801,100,123.81
1901,100,123.81
2001,100,123.81
2101,100,123.81
2201,100,123.81
2301,100,123.66
2401,100,123.66
2501,100,123.66
2601,100,123.66
2701,100,123.66
2801,100,123.66
2901,100,123.66
3001,100,123.66
3101,100,123.66
3201,100,123.66
3301,100,123.66
3401,100,123.66
3501,100,123.66
3601,100,123.66
3701,100,123.66
3801,100,123.66
3901,100,123.51
4001,100,123.51
4101,100,123.51
4201,100,123.51
4301,100,123.51
4401,100,123.51
4501,100,123.51
4601,100,123.51
4701,100,123.51
4801,100,123.51
4901,100,123.51
5001,100,123.51
5101,100,123.51
5201,100,123.51
5301,100,123.36
5401,100,123.51
5501,100,123.51
5601,100,123.36
5701,100,123.36
5801,100,123.51
5901,100,123.36
6001,100,123.36
6101,100,123.51
6201,100,123.36
6301,100,123.36
6401,100,123.36
6501,100,123.36
6601,100,123.36
6701,100,123.36
6801,100,123.36
6901,100,123.36
7001,100,123.36
7101,100,123.36
7201,100,123.36
7301,100,123.36
7401,100,123.36
7501,100,123.36
7601,100,123.36
7701,100,123.36
7801,100,123.36
7901,100,123.36
8001,100,123.36
8101,100,123.36
8201,100,123.21
8301,100,123.36
8401,100,123.36
8501,100,123.21
8601,100,123.36
8701,100,123.36
8801,100,123.36
8901,100,123.36
9001,100,123.36
9101,100,123.36
9201,100,123.36
9301,100,123.21
9401,100,123.36
9501,100,123.36
9601,100,123.36
9701,100,123.36
9801,100,123.36
9901,100,123.36
10001,100,123.36
10101,100,123.36
10201,100,123.36
10301,100,123.21
