Time_s,Temperatura_Hotend,RPM_Motor_DC,Grosor_Filamento,Estado_Motor_DC,Estado_Fan,Estado_Extrusor,Estado_Heater
0.0,29.94,0.0,,0,0,0,0
0.1,29.94,0.0,,0,0,0,0
0.2,29.94,0.0,,0,0,0,0
0.3,29.94,0.0,,0,0,0,0
0.4,29.94,0.0,,0,0,0,0
0.5,29.94,0.0,,0,0,0,0
0.6,29.94,0.0,,0,0,0,0
0.7,29.94,0.0,,0,0,0,0
0.8,29.94,0.0,,0,0,0,0
0.9,29.48,0.0,,0,0,0,0
1.0,29.94,0.0,,0,0,0,0
1.1,29.94,0.0,,0,0,0,0
1.2,29.94,0.0,,0,0,0,0
1.3,29.94,0.0,,0,0,0,0
1.4,29.48,0.0,,0,0,0,0
1.5,29.94,0.0,,0,0,0,0
1.6,29.48,0.0,,0,0,0,0
1.7,29.94,0.0,,0,0,0,0
1.8,29.48,0.0,,0,0,0,1
1.9,29.48,0.0,,0,0,0,1
2.0,29.48,0.0,,0,0,0,1
2.1,29.48,0.0,,0,0,0,1
2.2,29.94,0.0,,0,0,0,1
2.3,29.94,0.0,,0,0,0,1
2.4,29.94,0.0,,0,0,0,1
2.5,29.48,0.0,,0,0,0,1
2.6,29.94,0.0,,0,0,0,1
2.7,29.48,0.0,,0,0,0,1
2.8,29.94,0.0,,0,0,0,1
2.9,29.48,0.0,,0,0,0,1
3.0,29.94,0.0,,0,0,0,1
3.1,29.94,0.0,,0,0,0,1
3.2,30.38,0.0,,0,0,0,1
3.3,29.94,0.0,,0,0,0,1
3.4,29.94,0.0,,0,0,0,1
3.5,29.48,0.0,,0,0,0,1
3.6,29.94,0.0,,0,0,0,1
3.7,29.94,0.0,,0,0,0,1
3.8,29.94,0.0,,0,0,0,1
3.9,29.48,0.0,,0,0,0,1
4.0,29.94,0.0,,0,0,0,1
4.1,29.94,0.0,,0,0,0,1
4.2,29.94,0.0,,0,0,0,1
4.3,29.94,0.0,,0,0,0,1
4.4,29.94,0.0,,0,0,0,1
4.5,29.48,0.0,,0,0,0,1
4.6,29.94,0.0,,0,0,0,1
4.7,29.94,0.0,,0,0,0,1
