Time_s,Temperatura_Hotend,RPM_Motor_DC,Grosor_Filamento,Estado_Motor_DC,Estado_Fan,Estado_Extrusor,Estado_Heater
0.0,30.82,-3.06,,0,0,0,0
0.1,30.82,-3.06,,0,0,0,0
0.2,30.82,-3.06,,0,0,0,0
0.3,30.82,-3.06,,0,0,0,0
0.4,30.82,-3.06,,0,0,0,0
0.5,30.82,-3.06,,0,0,0,0
0.6,30.82,-3.06,,0,0,0,0
0.7,30.82,-3.06,,0,0,0,0
0.8,30.82,-3.06,,0,0,0,0
0.9,30.82,-3.19,,0,0,0,0
1.0,30.82,-2.93,,0,0,0,0
1.1,30.82,-3.06,,0,0,0,0
1.2,30.82,-3.06,,0,0,0,0
1.3,30.82,-2.81,,0,0,0,0
1.4,30.82,-3.06,,0,0,0,0
1.5,30.82,-3.06,,0,0,0,0
1.6,30.82,-2.81,,0,0,0,0
1.7,30.82,-3.06,,0,0,0,0
1.8,30.82,-3.06,,0,0,0,0
1.9,30.82,-3.06,,0,0,0,1
2.0,30.82,-3.06,,0,0,0,1
2.1,30.82,-2.81,,0,0,0,1
2.2,30.82,-3.06,,0,0,0,1
2.3,30.82,-3.06,,0,0,0,1
2.4,30.82,-3.06,,0,0,0,1
2.5,31.26,-3.32,,0,0,0,1
2.6,30.82,-3.06,,0,0,0,1
2.7,30.82,-3.06,,0,0,0,1
2.8,30.82,-3.06,,0,0,0,1
2.9,30.38,-2.81,,0,0,0,1
3.0,30.82,-3.06,,0,0,0,1
3.1,30.82,-3.06,,0,0,0,1
3.2,30.82,-3.06,,0,0,0,1
3.3,30.82,-3.06,,0,0,0,1
3.4,30.82,-2.55,,0,0,0,1
3.5,30.82,-3.32,,0,0,0,1
3.6,30.38,-2.68,,0,0,0,1
3.7,30.82,-3.06,,0,0,0,1
3.8,30.82,-3.06,,0,0,0,1
3.9,30.82,-3.06,,0,0,0,1
4.0,30.38,-3.06,,0,0,0,1
4.1,30.82,-3.06,,0,0,0,1
4.2,30.82,-2.81,,0,0,0,1
4.3,30.82,-3.06,,0,0,0,1
4.4,30.82,-3.11,,0,0,0,1
4.5,30.82,-3.06,,0,0,0,1
4.6,30.82,-3.06,,0,0,0,1
4.7,30.82,-3.06,,0,0,0,1
4.8,30.82,-2.81,,0,0,0,1
4.9,30.38,-3.07,,0,0,0,1
5.0,30.82,-2.83,,0,0,0,1
5.1,30.82,-3.06,,0,0,0,1
5.2,30.82,-2.81,,0,0,0,1
5.3,30.38,-2.93,,0,0,0,1
5.4,30.82,-3.06,,0,0,0,1
5.5,30.82,-2.55,,0,0,0,1
5.6,30.82,-3.06,,0,0,0,1
5.7,30.82,-3.06,,0,0,0,1
5.8,30.82,-3.06,,0,0,0,1
5.9,30.82,-3.06,,0,0,0,1
6.0,30.82,-3.06,,0,0,0,1
6.1,30.82,-3.06,,0,0,0,1
6.2,30.82,-3.06,,0,0,0,1
6.3,30.82,-2.81,,0,0,0,1
6.4,30.82,-3.06,,0,0,0,1
6.5,30.82,-3.06,,0,0,0,1
6.6,30.82,-2.78,,0,0,0,1
6.7,30.38,-3.32,,0,0,0,1
6.8,30.82,-3.06,,0,0,0,1
6.9,30.82,-3.06,,0,0,0,1
7.0,30.82,-2.81,,0,0,0,1
7.1,30.82,-3.06,,0,0,0,1
7.2,30.82,-2.81,,0,0,0,1
7.3,30.82,-3.06,,0,0,0,1
7.4,30.82,-2.81,,0,0,0,1
7.5,30.82,-3.06,,0,0,0,1
7.6,30.82,-3.06,,0,0,0,1
7.7,30.82,-3.19,,0,0,0,1
7.8,30.82,-2.81,,0,0,0,1
7.9,30.82,-3.19,,0,0,0,1
8.0,30.82,-2.81,,0,0,0,1
8.1,30.82,-3.06,,0,0,0,1
8.2,30.82,-3.06,,0,0,0,1
8.3,30.82,-3.06,,0,0,0,1
8.4,30.82,-3.06,,0,0,0,1
8.5,30.82,-3.06,,0,0,0,1
8.6,30.82,-3.06,,0,0,0,1
8.7,30.82,-2.81,,0,0,0,1
8.8,30.82,-3.06,,0,0,0,1
8.9,30.82,-3.06,,0,0,0,1
9.0,30.38,-3.06,,0,0,0,1
9.1,30.82,-3.06,,0,0,0,1
9.2,30.38,-3.32,,0,0,0,1
9.3,30.38,-2.81,,0,0,0,1
9.4,30.38,-2.55,,0,0,0,1
9.5,30.82,-2.78,,0,0,0,1
9.6,30.82,-3.06,,0,0,0,1
9.7,30.82,-2.81,,0,0,0,1
9.8,30.38,-3.06,,0,0,0,1
9.9,30.82,-2.81,,0,0,0,1
10.0,30.82,-3.06,,0,0,0,1
10.1,30.82,-3.06,,0,0,0,1
10.2,30.38,-3.19,,0,0,0,1
10.3,30.82,-3.19,,0,0,0,1
10.4,30.38,-3.06,,0,0,0,1
10.5,30.82,-3.06,,0,0,0,1
10.6,30.82,-3.06,,0,0,0,1
10.7,30.82,-2.81,,0,0,0,1
10.8,30.38,-3.06,,0,0,0,1
10.9,30.82,-3.06,,0,0,0,1
11.0,31.26,-2.81,,0,0,0,1
11.1,30.82,-3.06,,0,0,0,1
11.2,30.82,-2.81,,0,0,0,1
11.3,30.82,-3.06,,0,0,0,1
11.4,30.82,-2.81,,0,0,0,1
11.5,30.82,-2.81,,0,0,0,1
11.6,30.82,-2.81,,0,0,0,1
11.7,30.38,-2.81,,0,0,0,1
11.8,30.82,-3.06,,0,0,0,1
11.9,30.38,-2.81,,0,0,0,1
12.0,30.38,-3.06,,0,0,0,1
12.1,30.38,-3.06,,0,0,0,1
12.2,30.82,-3.06,,0,0,0,1
12.3,30.38,-2.81,,0,0,0,1
12.4,30.38,-2.81,,0,0,0,1
12.5,30.38,-2.81,,0,0,0,1
12.6,30.38,-2.81,,0,0,0,1
12.7,30.38,-3.06,,0,0,0,1
12.8,30.38,-2.55,,0,0,0,1
12.9,30.82,-2.81,,0,0,0,1
13.0,30.38,-3.06,,0,0,0,1
13.1,30.82,-3.06,,0,0,0,1
13.2,30.82,-1.79,,0,0,0,1
13.3,30.82,-1.28,,0,0,0,1
13.4,30.38,-1.79,,0,0,0,1
13.5,30.82,-2.81,,0,0,0,1
13.6,30.82,-2.3,,0,0,0,1
13.7,30.82,-2.55,,0,0,0,1
13.8,30.82,-1.53,,0,0,0,1
13.9,30.82,-1.53,,0,0,0,1
14.0,30.82,-3.06,,0,0,0,1
14.1,30.38,-2.55,,0,0,0,1
14.2,30.38,-2.3,,0,0,0,1
14.3,30.38,-1.02,,0,0,0,1
14.4,30.82,-0.77,,0,0,0,1
14.5,30.38,-1.28,,0,0,0,1
14.6,30.38,-2.04,,0,0,0,1
14.7,30.38,-3.06,,0,0,0,1
14.8,30.38,-2.81,,0,0,0,1
14.9,30.38,-2.04,,0,0,0,1
15.0,30.38,-2.81,,0,0,0,1
15.1,30.82,-3.06,,0,0,0,1
15.2,30.38,-2.81,,0,0,0,1
15.3,30.38,-3.06,,0,0,0,1
15.4,30.38,-1.91,,0,0,0,1
15.5,30.82,-0.89,,0,0,0,1
15.6,30.82,-0.51,,0,0,0,1
15.7,30.82,-0.77,,0,0,0,1
15.8,30.82,0.0,,0,0,0,1
15.9,30.82,-0.77,,0,0,0,1
16.0,30.82,-0.26,,0,0,0,1
16.1,30.82,-1.79,,0,0,0,1
16.2,30.82,-2.81,,0,0,0,1
16.3,30.82,-2.81,,0,0,0,1
16.4,30.82,-3.06,,0,0,0,1
16.5,30.82,-3.06,,0,0,0,1
