Time_s,Temperatura_Hotend,RPM_Motor_DC,Grosor_Filamento,Estado_Motor_DC,Estado_Fan,Estado_Extrusor,Estado_Heater
0.0,24.52,0.0,,0,0.0,0.0,0.0
0.1,25.05,0.0,,0,0.0,0.0,0.0
0.2,24.52,0.0,,0,0.0,0.0,0.0
0.3,25.05,0.0,,0,0.0,0.0,0.0
0.4,25.05,0.0,,0,0.0,0.0,0.0
0.5,25.05,0.0,,0,0.0,0.0,0.0
0.6,25.05,0.0,,0,0.0,0.0,0.0
0.7,25.05,0.0,,0,0.0,0.0,0.0
0.8,25.05,0.0,,0,0.0,0.0,0.0
0.9,24.52,0.0,,0,0.0,0.0,0.0
1.0,25.05,0.0,,0,0.0,0.0,0.0
1.1,25.05,0.0,,0,0.0,0.0,0.0
1.2,25.05,0.0,,0,0.0,0.0,0.0
1.3,25.05,0.0,,0,0.0,0.0,0.0
1.4,25.05,0.0,,0,0.0,0.0,0.0
1.5,25.58,0.0,,0,0.0,0.0,0.0
1.6,25.05,0.0,,0,0.0,0.0,0.0
1.7,25.05,0.0,,0,0.0,0.0,0.0
1.8,25.05,0.0,,0,0.0,0.0,0.0
1.9,25.58,0.0,,0,0.0,0.0,0.0
2.0,25.05,0.0,,0,0.0,0.0,0.0
2.1,25.58,0.0,,0,0.0,0.0,0.0
2.2,25.58,0.0,,0,0.0,0.0,0.0
2.3,25.05,0.0,,0,0.0,0.0,0.0
2.4,25.58,0.0,,0,0.0,0.0,0.0
2.5,25.58,0.0,,0,0.0,0.0,0.0
2.6,25.05,0.0,,0,0.0,0.0,0.0
2.7,25.05,0.0,,0,0.0,0.0,0.0
2.8,25.05,0.0,,0,0.0,0.0,0.0
2.9,25.05,0.0,,0,0.0,0.0,0.0
3.0,25.05,0.0,,0,0.0,0.0,0.0
3.1,25.05,0.0,,0,0.0,0.0,0.0
3.2,25.05,0.0,,0,0.0,0.0,0.0
3.3,25.05,0.0,,0,0.0,0.0,0.0
3.4,25.05,0.0,,0,0.0,0.0,0.0
3.5,25.05,0.0,,0,0.0,0.0,0.0
3.6,24.52,0.0,,0,0.0,0.0,1.0
3.7,25.05,0.0,,0,0.0,0.0,1.0
3.8,25.58,0.0,,0,0.0,0.0,1.0
3.9,24.52,0.0,,0,0.0,0.0,1.0
4.0,25.05,0.0,,0,0.0,0.0,1.0
4.1,25.05,0.0,,0,0.0,0.0,1.0
4.2,25.05,0.0,,0,0.0,0.0,1.0
4.3,24.52,0.0,,0,0.0,0.0,1.0
4.4,24.52,0.0,,0,0.0,0.0,1.0
4.5,25.05,0.0,,0,0.0,0.0,1.0
4.6,25.58,0.0,,0,0.0,0.0,1.0
4.7,25.05,0.0,,0,0.0,0.0,1.0
4.8,25.05,0.0,,0,0.0,0.0,1.0
4.9,25.05,0.0,,0,0.0,0.0,1.0
5.0,25.05,0.0,,0,0.0,0.0,1.0
5.1,25.58,0.0,,0,0.0,0.0,1.0
5.2,25.58,0.0,,0,0.0,0.0,1.0
5.3,25.05,0.0,,0,0.0,0.0,1.0
5.4,25.05,0.0,,0,0.0,0.0,1.0
5.5,25.58,0.0,,0,0.0,0.0,1.0
5.6,25.05,0.0,,0,0.0,0.0,1.0
5.7,25.05,0.0,,0,0.0,0.0,1.0
5.8,25.05,0.0,,0,0.0,0.0,1.0
5.9,25.05,0.0,,0,0.0,0.0,1.0
6.0,25.05,0.0,,0,0.0,0.0,1.0
6.1,25.05,0.0,,0,0.0,0.0,1.0
6.2,24.52,0.0,,0,0.0,0.0,1.0
6.3,25.05,0.0,,0,0.0,0.0,1.0
6.4,25.58,0.0,,0,0.0,0.0,1.0
6.5,25.05,0.0,,0,0.0,0.0,1.0
6.6,25.05,0.0,,0,0.0,0.0,1.0
6.7,25.05,0.0,,0,0.0,0.0,1.0
6.8,25.05,0.0,,0,0.0,0.0,1.0
6.9,25.05,0.0,,0,0.0,0.0,1.0
7.0,25.05,0.0,,0,0.0,0.0,1.0
7.1,25.05,0.0,,0,0.0,0.0,1.0
7.2,25.05,0.0,,0,0.0,0.0,1.0
7.3,25.05,0.0,,0,0.0,0.0,1.0
7.4,25.58,0.0,,0,0.0,0.0,1.0
7.5,25.05,0.0,,0,0.0,0.0,1.0
7.6,25.05,0.0,,0,0.0,0.0,1.0
7.7,25.05,0.0,,0,0.0,0.0,1.0
7.8,25.05,0.0,,0,0.0,0.0,1.0
7.9,25.58,0.0,,0,0.0,0.0,1.0
8.0,25.58,0.0,,0,0.0,0.0,1.0
8.1,25.05,0.0,,0,0.0,0.0,1.0
8.2,25.58,0.0,,0,0.0,0.0,1.0
8.3,25.58,0.0,,0,0.0,0.0,1.0
8.4,25.58,0.0,,0,0.0,0.0,1.0
8.5,25.05,0.0,,0,0.0,0.0,1.0
8.6,25.05,0.0,,0,0.0,0.0,1.0
8.7,25.05,0.0,,0,0.0,0.0,1.0
8.8,25.05,0.0,,0,0.0,0.0,1.0
8.9,24.52,0.0,,0,0.0,0.0,1.0
9.0,25.05,0.0,,0,0.0,0.0,1.0
9.1,25.05,0.0,,0,0.0,0.0,1.0
9.2,25.05,0.0,,0,0.0,0.0,1.0
9.3,25.58,0.0,,0,0.0,0.0,1.0
9.4,25.05,0.0,,0,0.0,0.0,1.0
9.5,25.05,0.0,,0,0.0,0.0,1.0
9.6,25.05,0.0,,0,0.0,0.0,1.0
9.7,25.05,0.0,,0,0.0,0.0,1.0
9.8,25.05,0.0,,0,0.0,0.0,1.0
9.9,25.05,0.0,,0,0.0,0.0,1.0
10.0,25.05,0.0,,0,0.0,0.0,1.0
10.1,25.58,0.0,,0,0.0,0.0,1.0
10.2,25.05,0.0,,0,0.0,0.0,1.0
10.3,25.58,0.0,,0,0.0,0.0,1.0
