t_ms,pwm_heater,temp_C
100,220,22.27
200,220,22.85
300,220,22.27
400,220,22.27
500,220,22.27
600,220,22.27
700,220,22.27
800,220,22.27
900,220,22.27
1000,220,22.27
1100,220,22.85
1201,220,22.85
1301,220,22.85
1401,220,22.85
1501,220,22.85
1601,220,22.85
1701,220,22.85
1801,220,22.85
1901,220,22.85
2001,220,22.85
2101,220,22.85
2201,220,22.85
2301,220,22.85
2401,220,23.42
2501,220,22.85
2601,220,23.42
2701,220,23.42
2801,220,22.85
2901,220,23.42
3001,220,23.42
3101,220,23.42
3201,220,23.42
3301,220,23.42
3401,220,23.42
3501,220,23.42
3601,220,23.42
3701,220,23.42
3801,220,23.42
3901,220,23.97
4001,220,23.97
4101,220,23.97
4201,220,23.42
4301,220,23.97
4401,220,23.97
4501,220,23.97
4601,220,23.97
4701,220,23.97
4801,220,24.52
4901,220,24.52
5001,220,24.52
5101,220,24.52
5201,220,24.52
5301,220,24.52
5401,220,24.52
5501,220,24.52
5601,220,24.52
5701,220,24.52
5801,220,24.52
5901,220,25.05
6001,220,25.05
6101,220,25.05
6201,220,25.05
6301,220,25.05
6401,220,25.05
6501,220,25.05
6601,220,25.58
6701,220,25.58
6801,220,25.58
6901,220,25.58
7001,220,25.58
7101,220,25.58
7201,220,26.10
7301,220,26.10
7401,220,26.10
7501,220,26.10
7601,220,26.10
7701,220,26.10
7801,220,26.60
7901,220,26.60
8001,220,26.60
8101,220,26.60
8201,220,26.60
8301,220,26.60
8401,220,26.60
8501,220,26.60
8601,220,27.10
8701,220,26.60
8801,220,27.10
8901,220,27.10
9001,220,27.10
9101,220,27.10
9201,220,27.10
9301,220,27.59
9401,220,27.59
9501,220,27.59
9601,220,27.59
9701,220,28.08
9801,220,28.08
9901,220,28.08
10001,220,28.08
10101,220,28.08
10201,220,28.08
10301,220,28.55
10401,220,28.55
10501,220,28.55
10601,220,28.55
10701,220,28.55
10801,220,28.55
10901,220,29.02
11001,220,29.02
11101,220,29.02
11201,220,29.02
11301,220,29.02
11401,220,29.02
11501,220,29.48
11601,220,29.48
11701,220,29.48
11801,220,29.48
11901,220,29.48
12001,220,29.48
12101,220,29.94
12201,220,29.94
12301,220,29.94
12401,220,30.38
12501,220,30.38
12601,220,30.38
12701,220,30.38
12801,220,30.38
12901,220,30.82
13001,220,30.82
13101,220,30.82
13201,220,30.82
13301,220,30.82
13401,220,31.26
13501,220,31.26
13601,220,31.26
13701,220,31.26
13801,220,31.69
13901,220,31.69
14001,220,31.69
14101,220,31.69
14201,220,31.69
14301,220,31.69
14401,220,31.69
14501,220,32.11
14601,220,32.11
14701,220,32.11
14801,220,32.53
14901,220,32.53
15001,220,32.53
15101,220,32.53
15201,220,32.94
15301,220,32.94
15401,220,32.94
15501,220,32.94
15601,220,32.94
15701,220,33.35
15801,220,33.35
15901,220,33.35
16001,220,33.35
16101,220,33.35
16201,220,33.75
16301,220,33.75
16401,220,33.75
16501,220,33.75
16601,220,33.75
16701,220,34.15
16801,220,34.15
16901,220,34.15
17001,220,34.15
17101,220,34.15
17201,220,34.15
17301,220,34.54
17401,220,34.54
17501,220,34.93
17601,220,34.93
