Timestamp,Temperatura_Hotend,RPM_Motor_DC,Grosor_Filamento,PWM_Hotend,PWM_Motor_DC,PWM_Fan,Setpoint_Temp,Setpoint_RPM,Estado_Motor_DC,Estado_Fan,Estado_Extrusor,Estado_Heater
0,20.46,0.0,,0,0,0,190.0,20.0,0,0,0,0
1,19.83,0.0,,0,0,0,190.0,20.0,0,0,0,0
2,19.83,0.0,,0,0,0,190.0,20.0,0,0,0,0
3,20.46,0.0,,0,0,0,190.0,20.0,0,0,0,0
4,20.46,0.0,,0,0,0,190.0,20.0,0,0,0,0
5,20.46,0.0,,0,0,0,190.0,20.0,0,0,0,0
6,20.46,0.0,,0,0,0,190.0,20.0,0,0,0,0
7,20.46,0.0,,0,0,0,190.0,20.0,0,0,0,0
8,20.46,0.0,,0,0,0,190.0,20.0,0,0,0,0
9,20.46,0.0,,0,0,0,190.0,20.0,0,0,0,0
10,20.46,0.0,,0,0,0,190.0,20.0,0,0,0,0
11,20.46,0.0,,0,0,0,190.0,20.0,0,0,0,0
12,20.46,0.0,,0,0,0,190.0,20.0,0,0,0,0
13,20.46,0.0,,0,0,0,190.0,20.0,0,0,0,0
14,20.46,0.0,,0,0,0,190.0,20.0,0,0,0,0
15,20.46,0.0,,0,0,0,190.0,20.0,0,0,0,0
16,20.46,0.0,,0,0,0,190.0,20.0,0,0,0,0
17,20.46,0.0,,0,0,0,190.0,20.0,0,0,0,0
18,20.46,0.0,,0,0,0,190.0,20.0,0,0,0,0
19,20.46,0.0,,0,0,0,190.0,20.0,0,0,0,0
20,20.46,0.0,,0,0,0,190.0,20.0,0,0,0,0
21,20.46,0.0,,0,0,0,190.0,20.0,0,0,0,0
22,20.46,0.0,,0,0,0,190.0,20.0,0,0,0,0
23,20.46,0.0,,0,0,0,190.0,20.0,0,0,0,0
24,20.46,-54.34,,0,255,0,190.0,20.0,0,0,0,0
25,20.46,-54.52,,0,255,0,190.0,20.0,0,0,0,0
26,20.46,-55.6,,0,255,0,190.0,20.0,0,0,0,0
27,20.46,-55.23,,0,255,0,190.0,20.0,0,0,0,0
28,20.46,-55.99,,0,255,0,190.0,20.0,0,0,0,0
29,20.46,-55.74,,0,255,0,190.0,20.0,0,0,0,0
30,20.46,-56.38,,0,255,0,190.0,20.0,0,0,0,0
31,19.83,-55.87,,0,255,0,190.0,20.0,0,0,0,0
32,20.46,-56.76,,0,255,0,190.0,20.0,0,0,0,0
33,20.46,-56.25,,0,255,0,190.0,20.0,0,0,0,0
34,20.46,-56.76,,0,255,0,190.0,20.0,0,0,0,0
35,20.46,-56.38,,0,255,0,190.0,20.0,0,0,0,0
36,20.46,-57.02,,0,255,0,190.0,20.0,0,0,0,0
37,20.46,-56.51,,0,255,0,190.0,20.0,0,0,0,0
38,20.46,-57.14,,0,255,0,190.0,20.0,0,0,0,0
39,20.46,-57.27,,0,255,0,190.0,20.0,0,0,0,0
40,20.46,-57.46,,0,255,0,190.0,20.0,0,0,0,0
41,20.46,-56.85,,0,255,0,190.0,20.0,0,0,0,0
42,21.08,-56.89,,0,255,0,190.0,20.0,0,0,0,0
