Timestamp,Temperatura_Hotend,RPM_Motor_DC,Grosor_Filamento,Estado_Motor_DC,Estado_Fan,Estado_Extrusor,Estado_Heater
0,25.58,0.0,,0,0,0,0
1,26.1,0.0,,0,0,0,0
2,26.1,0.0,,0,0,0,0
3,26.1,0.0,,0,0,0,0
4,26.1,0.0,,0,0,0,0
5,26.1,0.0,,0,0,0,0
6,26.1,0.0,,0,0,0,0
7,25.58,0.0,,0,0,0,0
8,25.58,0.0,,0,0,0,0
9,25.58,0.0,,0,0,0,0
10,25.58,0.0,,0,0,0,0
11,26.1,20.79,,1,0,0,0
12,26.1,18.11,,1,0,0,0
13,25.58,13.78,,1,0,0,0
14,26.1,17.47,,1,0,0,0
15,26.1,20.54,,1,0,0,0
16,26.1,21.05,,1,0,0,0
17,25.58,18.11,,1,0,0,0
18,26.1,14.29,,1,0,0,0
19,26.1,16.71,,1,0,0,0
20,26.1,19.9,,1,0,0,0
21,25.58,20.41,,1,0,0,0
22,26.1,16.07,,1,0,0,0
23,26.1,15.56,,1,0,0,0
24,26.1,15.43,,1,0,0,0
25,25.58,19.01,,1,0,0,0
26,26.1,23.6,,1,0,0,0
27,26.1,18.49,,1,0,0,0
28,26.1,15.31,,1,0,0,0
29,25.58,14.41,,1,0,0,0
30,26.1,19.13,,1,0,0,0
31,25.58,22.58,,1,0,0,0
32,26.1,19.01,,1,0,0,0
33,25.58,15.94,,1,0,0,0
34,25.58,15.18,,1,0,0,0
35,25.58,19.13,,1,0,0,0
36,26.1,20.92,,1,0,0,0
37,25.58,18.62,,1,0,0,0
38,25.58,15.56,,1,0,0,0
39,26.1,15.18,,1,0,0,0
40,26.1,16.07,,1,0,0,0
41,26.1,19.77,,1,0,0,0
42,25.58,22.32,,1,0,0,0
43,25.58,18.88,,1,0,0,0
44,25.58,15.82,,1,0,0,0
45,26.1,14.03,,1,0,0,0
46,26.1,17.6,,1,0,0,0
47,26.1,21.81,,1,0,0,0
48,25.58,20.79,,1,0,0,0
49,26.1,16.2,,1,0,0,0
50,26.1,15.05,,1,0,0,0
51,26.1,16.96,,1,0,0,0
52,25.58,21.17,,1,0,0,0
53,26.1,19.39,,1,0,0,0
54,26.1,16.84,,1,0,0,0
55,25.58,15.18,,1,0,0,0
56,26.1,17.22,,1,0,0,0
57,26.1,19.77,,1,0,0,0
58,25.58,21.3,,1,0,0,0
59,26.1,17.35,,1,0,0,0
60,26.1,15.31,,1,0,0,0
61,25.58,16.84,,1,0,0,0
62,25.58,22.32,,1,0,0,0
63,26.1,17.98,,1,0,0,0
64,26.1,15.31,,1,0,0,0
65,26.1,15.31,,1,0,0,0
66,26.1,19.39,,1,0,0,0
67,25.58,21.43,,1,0,0,0
68,25.58,20.54,,1,0,0,0
69,25.58,16.33,,1,0,0,0
70,25.58,14.29,,1,0,0,0
71,26.1,18.88,,1,0,0,0
72,25.58,23.21,,1,0,0,0
73,25.58,29.59,,1,0,0,0
74,25.58,25.77,,1,0,0,0
75,26.1,33.16,,1,0,0,0
76,26.1,33.42,,1,0,0,0
77,26.1,32.4,,1,0,0,0
78,26.1,32.4,,1,0,0,0
79,26.1,33.04,,1,0,0,0
80,25.58,33.16,,1,0,0,0
81,26.1,34.31,,1,0,0,0
82,26.1,32.78,,1,0,0,0
83,26.1,32.65,,1,0,0,0
84,25.58,32.27,,1,0,0,0
85,25.58,32.78,,1,0,0,0
86,25.58,33.16,,1,0,0,0
87,25.58,32.65,,1,0,0,0
88,25.58,34.18,,1,0,0,0
89,26.1,32.53,,1,0,0,0
90,25.58,33.16,,1,0,0,0
91,26.1,32.53,,1,0,0,0
92,26.1,32.65,,1,0,0,0
93,26.1,31.89,,1,0,0,0
94,26.1,32.53,,1,0,0,0
95,26.1,34.18,,1,0,0,0
96,26.1,33.67,,1,0,0,0
97,25.58,33.8,,1,0,0,0
98,26.1,32.65,,1,0,0,0
99,26.1,32.4,,1,0,0,0
100,25.58,32.4,,1,0,0,0
101,26.1,32.78,,1,0,0,0
102,25.58,34.44,,1,0,0,0
103,26.1,34.06,,1,0,0,0
104,25.58,33.16,,1,0,0,0
105,26.1,32.27,,1,0,0,0
106,25.58,33.42,,1,0,0,0
107,26.1,32.91,,1,0,0,0
108,25.58,33.04,,1,0,0,0
109,25.58,33.16,,1,0,0,0
110,26.1,33.42,,1,0,0,0
111,26.1,33.29,,1,0,0,0
112,25.58,33.42,,1,0,0,0
113,25.58,33.67,,1,0,0,0
114,26.1,32.65,,1,0,0,0
115,26.1,32.4,,1,0,0,0
116,25.58,33.67,,1,0,0,0
117,25.58,33.93,,1,0,0,0
118,26.1,32.78,,1,0,0,0
119,25.58,33.04,,1,0,0,0
120,25.58,33.04,,1,0,0,0
121,25.58,32.4,,1,0,0,0
122,25.58,33.16,,1,0,0,0
123,25.58,33.93,,1,0,0,0
124,25.58,33.8,,1,0,0,0
125,25.58,32.4,,1,0,0,0
126,26.1,32.78,,1,0,0,0
127,26.1,33.16,,1,0,0,0
128,26.1,33.29,,1,0,0,0
129,26.1,32.91,,1,0,0,0
130,25.58,33.55,,1,0,0,0
131,26.1,33.55,,1,0,0,0
132,25.58,32.4,,1,0,0,0
133,26.1,43.49,,1,0,0,0
134,25.58,45.92,,1,0,0,0
135,25.58,45.92,,1,0,0,0
136,26.1,46.05,,1,0,0,0
137,25.58,45.54,,1,0,0,0
138,26.1,46.05,,1,0,0,0
139,25.58,45.54,,1,0,0,0
140,26.1,46.05,,1,0,0,0
141,26.1,45.54,,1,0,0,0
142,26.1,45.92,,1,0,0,0
143,26.1,45.92,,1,0,0,0
144,25.58,46.05,,1,0,0,0
145,26.1,45.92,,1,0,0,0
146,25.58,45.54,,1,0,0,0
147,25.58,46.05,,1,0,0,0
148,26.1,45.54,,1,0,0,0
149,25.58,46.05,,1,0,0,0
150,26.1,45.41,,1,0,0,0
151,25.58,46.05,,1,0,0,0
152,26.1,45.92,,1,0,0,0
153,25.58,45.54,,1,0,0,0
154,26.1,46.05,,1,0,0,0
155,25.58,45.54,,1,0,0,0
156,25.58,46.05,,1,0,0,0
157,25.58,45.54,,1,0,0,0
158,25.58,45.92,,1,0,0,0
159,25.58,45.92,,1,0,0,0
160,25.58,45.92,,1,0,0,0
161,26.1,45.92,,1,0,0,0
162,26.1,45.54,,1,0,0,0
163,25.58,46.05,,1,0,0,0
164,26.1,45.41,,1,0,0,0
165,25.58,45.92,,1,0,0,0
166,25.58,45.54,,1,0,0,0
167,25.58,46.05,,1,0,0,0
168,25.58,45.92,,1,0,0,0
169,26.1,45.41,,1,0,0,0
170,26.1,46.05,,1,0,0,0
171,26.1,45.41,,1,0,0,0
172,25.58,46.05,,1,0,0,0
173,26.1,45.54,,1,0,0,0
174,26.1,46.05,,1,0,0,0
175,26.1,45.92,,1,0,0,0
176,26.1,46.05,,1,0,0,0
177,25.58,45.92,,1,0,0,0
178,25.58,45.54,,1,0,0,0
179,26.1,45.92,,1,0,0,0
180,26.1,45.54,,1,0,0,0
181,25.58,46.05,,1,0,0,0
182,25.58,45.54,,1,0,0,0
183,25.58,45.92,,1,0,0,0
184,25.58,45.92,,1,0,0,0
185,25.58,45.54,,1,0,0,0
186,25.58,46.05,,1,0,0,0
187,25.58,45.41,,1,0,0,0
188,26.1,46.05,,1,0,0,0
189,26.1,45.41,,1,0,0,0
190,26.1,45.92,,1,0,0,0
191,26.1,46.05,,1,0,0,0
192,26.1,45.92,,1,0,0,0
193,25.58,34.69,,1,0,0,0
194,26.1,32.91,,1,0,0,0
195,25.58,32.14,,1,0,0,0
196,26.1,32.78,,1,0,0,0
197,25.58,32.91,,1,0,0,0
198,25.58,32.78,,1,0,0,0
199,25.58,32.78,,1,0,0,0
200,26.1,33.29,,1,0,0,0
201,25.58,32.91,,1,0,0,0
202,26.1,33.93,,1,0,0,0
203,26.1,33.04,,1,0,0,0
204,25.58,33.04,,1,0,0,0
205,25.58,31.63,,1,0,0,0
206,26.1,32.65,,1,0,0,0
207,25.58,33.67,,1,0,0,0
208,25.58,33.93,,1,0,0,0
209,25.58,33.93,,1,0,0,0
210,25.58,32.78,,1,0,0,0
211,26.1,33.29,,1,0,0,0
212,25.58,32.14,,1,0,0,0
213,25.58,33.16,,1,0,0,0
214,25.58,33.29,,1,0,0,0
215,25.58,33.29,,1,0,0,0
216,25.58,33.42,,1,0,0,0
