Timestamp,Temperatura_Hotend,RPM_Motor_DC,Grosor_Filamento,Estado_Motor_DC,Estado_Fan,Estado_Extrusor,Estado_Heater
0,26.1,0.0,,0,0,0,0
1,25.58,0.0,,0,0,0,0
2,25.58,0.0,,0,0,0,0
3,25.58,0.0,,0,0,0,0
4,25.58,0.0,,0,0,0,0
5,26.1,0.0,,0,0,0,0
6,26.1,0.0,,0,0,0,0
7,25.58,0.0,,0,0,0,0
8,26.1,0.0,,0,0,0,0
9,26.1,0.0,,0,0,0,0
10,26.1,0.0,,0,0,0,0
11,26.1,0.0,,0,0,0,0
12,26.1,0.0,,0,0,0,0
13,25.58,18.88,,1,0,0,0
14,26.1,14.8,,1,0,0,0
15,26.1,15.31,,1,0,0,0
16,26.1,18.37,,1,0,0,0
17,25.58,21.3,,1,0,0,0
18,25.58,21.17,,1,0,0,0
19,25.58,20.41,,1,0,0,0
20,25.58,17.6,,1,0,0,0
21,26.1,14.54,,1,0,0,0
22,25.58,16.07,,1,0,0,0
23,25.58,19.39,,1,0,0,0
24,26.1,22.19,,1,0,0,0
25,26.1,19.9,,1,0,0,0
26,25.58,17.09,,1,0,0,0
27,25.58,13.78,,1,0,0,0
28,25.58,16.07,,1,0,0,0
29,26.1,20.41,,1,0,0,0
30,25.58,21.68,,1,0,0,0
31,26.1,18.24,,1,0,0,0
32,25.58,16.2,,1,0,0,0
33,25.58,14.92,,1,0,0,0
34,25.58,17.98,,1,0,0,0
35,26.1,20.41,,1,0,0,0
36,25.58,21.05,,1,0,0,0
37,25.58,17.6,,1,0,0,0
38,25.58,14.67,,1,0,0,0
39,25.58,17.09,,1,0,0,0
40,26.1,21.3,,1,0,0,0
41,26.1,21.3,,1,0,0,0
42,26.1,19.52,,1,0,0,0
43,26.1,14.92,,1,0,0,0
44,25.58,14.16,,1,0,0,0
45,25.58,18.75,,1,0,0,0
46,26.1,21.68,,1,0,0,0
47,25.58,19.26,,1,0,0,0
48,26.1,18.37,,1,0,0,0
49,26.1,15.31,,1,0,0,0
50,26.1,16.96,,1,0,0,0
51,25.58,20.03,,1,0,0,0
52,25.58,21.17,,1,0,0,0
53,25.58,18.24,,1,0,0,0
54,26.1,15.31,,1,0,0,0
55,26.1,15.69,,1,0,0,0
56,26.1,20.66,,1,0,0,0
57,25.58,21.3,,1,0,0,0
58,25.58,19.01,,1,0,0,0
59,26.1,15.56,,1,0,0,0
60,26.1,14.03,,1,0,0,0
61,25.58,18.37,,1,0,0,0
62,25.58,21.56,,1,0,0,0
63,26.1,19.39,,1,0,0,0
64,26.1,15.82,,1,0,0,0
65,26.1,14.92,,1,0,0,0
66,25.58,18.37,,1,0,0,0
67,26.1,21.43,,1,0,0,0
68,26.1,20.15,,1,0,0,0
69,26.1,17.09,,1,0,0,0
70,25.58,14.8,,1,0,0,0
71,25.58,17.86,,1,0,0,0
72,25.58,22.07,,1,0,0,0
73,26.1,21.81,,1,0,0,0
74,26.1,15.18,,1,0,0,0
75,26.1,16.58,,1,0,0,0
76,26.1,15.56,,1,0,0,0
77,26.1,19.9,,1,0,0,0
78,25.58,22.32,,1,0,0,0
79,25.58,20.66,,1,0,0,0
80,26.1,17.98,,1,0,0,0
81,26.1,13.78,,1,0,0,0
82,25.58,16.45,,1,0,0,0
83,25.58,18.62,,1,0,0,0
84,26.1,21.68,,1,0,0,0
85,26.1,20.79,,1,0,0,0
86,26.1,20.54,,1,0,0,0
87,26.1,13.65,,1,0,0,0
88,25.58,14.67,,1,0,0,0
89,25.58,17.86,,1,0,0,0
90,26.1,21.3,,1,0,0,0
91,26.1,21.81,,1,0,0,0
92,25.58,19.9,,1,0,0,0
93,26.1,18.49,,1,0,0,0
94,25.58,14.67,,1,0,0,0
95,26.1,11.99,,1,0,0,0
96,26.1,16.07,,1,0,0,0
97,26.1,21.68,,1,0,0,0
98,26.1,21.56,,1,0,0,0
99,26.1,21.17,,1,0,0,0
100,26.1,17.98,,1,0,0,0
101,26.1,14.8,,1,0,0,0
102,26.1,11.35,,1,0,0,0
103,26.1,16.71,,1,0,0,0
104,25.58,21.17,,1,0,0,0
105,26.1,21.05,,1,0,0,0
106,26.1,22.32,,1,0,0,0
107,26.1,19.52,,1,0,0,0
