t_ms,pwm,rpm
100,60,4.6
200,60,10.6
300,60,13.5
400,60,15.3
500,60,16.1
600,60,15.9
700,60,15.9
800,60,15.6
900,60,15.2
1000,60,15.3
1100,60,15.2
1200,60,14.9
1300,60,15.4
1400,60,15.9
1500,90,16.1
1600,90,21.2
1700,90,26.9
1800,90,29.3
1900,90,30.7
2000,90,31.5
2100,90,31.2
2200,90,31.4
2300,90,31.1
2400,90,31.0
2500,90,31.5
2600,90,31.8
2700,90,31.4
2800,90,31.5
2900,90,31.0
3000,150,30.1
3100,150,36.6
3200,150,42.0
3300,150,44.3
3400,150,45.2
3500,150,44.9
3600,150,46.2
3700,150,45.9
3800,150,45.5
3900,150,45.9
4000,150,45.9
4100,150,45.5
4200,150,45.9
4300,150,45.9
4400,150,45.4
4500,120,46.2
4600,120,43.7
4700,120,41.2
4800,120,41.2
4900,120,41.3
5000,120,40.8
5100,120,40.8
5200,120,40.4
5300,120,39.9
5400,120,40.6
5500,120,40.6
5600,120,40.4
5700,120,40.6
5800,120,40.1
5900,120,39.3
6000,30,39.9
6100,30,33.2
6200,30,21.9
6300,30,14.3
6400,30,8.4
6500,30,4.8
6600,30,2.3
6700,30,0.9
6800,30,0.0
6900,30,0.0
7000,30,0.0
7100,30,0.0
7200,30,0.0
7300,30,0.0
7400,30,0.0
7500,90,0.0
7600,90,9.7
7700,90,22.2
7800,90,27.9
7900,90,29.8
8000,90,31.2
8100,90,31.9
8200,90,31.4
8300,90,31.5
8400,90,31.9
8500,90,31.9
8600,90,32.1
8700,90,31.9
8800,90,31.0
8900,90,30.9
9000,150,30.5
9100,150,36.9
9200,150,43.4
9300,150,45.4
9400,150,45.0
9500,150,46.0
9600,150,45.4
9700,150,46.2
9800,150,45.9
9900,150,45.4
10000,150,46.0
10100,150,45.9
10200,150,45.5
10300,150,46.0
10400,150,46.0
10500,120,45.5
10600,120,44.3
10700,120,42.2
10800,120,41.3
10900,120,41.5
11000,120,41.5
11100,120,40.9
11200,120,41.3
11300,120,41.3
11400,120,40.6
11500,120,40.4
11600,120,39.7
11700,120,39.0
11800,120,39.7
11900,120,40.2
12000,150,40.3
12100,150,43.4
12200,150,45.4
12300,150,45.4
12400,150,45.9
12500,150,46.0
12600,150,45.5
12700,150,46.0
12800,150,45.4
12900,150,46.0
13000,150,45.9
13100,150,45.5
13200,150,46.0
13300,150,46.0
13400,150,45.7
13500,30,45.9
13600,30,38.6
13700,30,26.3
13800,30,17.5
13900,30,11.1
14000,30,6.9
14100,30,4.0
14200,30,1.8
14300,30,0.1
14400,30,0.0
14500,30,0.0
14600,30,0.0
