t_ms,pwm,rpm
100,60,4.0
200,60,9.1
300,60,12.2
400,60,14.7
500,60,15.4
600,60,15.9
700,60,15.6
800,60,15.9
900,60,16.5
1000,60,17.5
1100,60,18.2
1200,60,18.5
1300,60,19.0
1400,60,19.4
1500,90,19.0
1600,90,22.6
1700,90,27.7
1800,90,29.8
1900,90,31.2
2000,90,31.9
2100,90,31.9
2200,90,31.8
2300,90,32.9
2400,90,33.8
2500,90,34.9
2600,90,35.1
2700,90,34.4
2800,90,34.4
2900,90,33.9
3000,150,33.2
3100,150,40.1
3200,150,46.2
3300,150,48.0
3400,150,48.3
3500,150,48.2
3600,150,48.6
3700,150,48.6
3800,150,48.2
3900,150,49.0
4000,150,48.9
4100,150,47.8
4200,150,48.0
4300,150,48.3
4400,150,47.8
4500,120,48.0
4600,120,46.3
4700,120,44.5
4800,120,43.9
4900,120,43.5
5000,120,43.2
5100,120,43.9
5200,120,44.0
5300,120,42.9
5400,120,42.6
5500,120,42.3
5600,120,42.6
5700,120,43.5
5800,120,43.5
5900,120,43.1
6000,30,44.0
6100,30,37.6
6200,30,26.3
6300,30,18.0
6400,30,11.6
6500,30,6.9
6600,30,3.3
6700,30,1.3
6800,30,0.1
6900,30,0.0
7000,30,0.0
7100,30,0.0
7200,30,0.0
7300,30,0.0
7400,30,0.0
7500,90,0.0
7600,90,10.2
7700,90,23.5
7800,90,29.7
7900,90,32.1
8000,90,33.7
8100,90,33.4
8200,90,32.9
8300,90,32.9
8400,90,33.0
8500,90,33.4
8600,90,33.8
8700,90,33.5
8800,90,32.0
8900,90,32.3
9000,150,32.8
9100,150,39.2
9200,150,45.5
9300,150,47.3
9400,150,47.7
9500,150,48.6
9600,150,48.0
9700,150,48.1
9800,150,47.6
9900,150,47.4
10000,150,48.6
10100,150,48.6
10200,150,48.1
10300,150,48.9
10400,150,48.7
10500,120,48.2
10600,120,46.8
10700,120,45.0
10800,120,43.9
10900,120,43.5
11000,120,43.0
11100,120,42.5
11200,120,42.9
11300,120,42.3
11400,120,41.7
11500,120,42.7
11600,120,43.2
11700,120,42.7
11800,120,43.2
11900,120,43.4
12000,150,43.4
12100,150,45.4
12200,150,46.2
12300,150,46.3
12400,150,47.3
12500,150,48.0
12600,150,47.8
12700,150,48.2
12800,150,48.0
12900,150,48.5
13000,150,48.3
13100,150,47.8
13200,150,48.6
13300,150,48.7
13400,150,47.4
13500,30,47.4
13600,30,40.1
13700,30,27.4
13800,30,18.0
13900,30,9.8
14000,30,4.6
14100,30,0.8
14200,30,0.0
14300,30,0.0
14400,30,0.0
14500,30,0.0
14600,30,0.0
14700,30,0.0
14800,30,0.0
14900,30,0.0
15000,90,0.0
15100,90,9.8
15200,90,22.2
15300,90,27.2
15400,90,29.7
15500,90,31.5
15600,90,33.0
15700,90,33.7
15800,90,34.1
15900,90,34.8
16000,90,34.7
16100,90,35.1
16200,90,35.3
16300,90,34.7
16400,90,34.4
16500,120,34.1
16600,120,36.1
16700,120,40.6
16800,120,42.3
16900,120,42.5
17000,120,43.1
17100,120,43.4
17200,120,43.2
17300,120,43.6
17400,120,43.6
17500,120,43.4
17600,120,44.0
17700,120,44.1
17800,120,43.2
17900,120,43.0
18000,90,42.5
18100,90,39.2
18200,90,36.1
18300,90,34.9
18400,90,34.4
18500,90,34.8
18600,90,35.1
18700,90,34.7
18800,90,35.1
18900,90,34.9
19000,90,34.9
19100,90,35.5
19200,90,35.1
19300,90,34.7
19400,90,33.8
19500,150,32.9
19600,150,39.5
19700,150,45.7
19800,150,46.7
19900,150,47.7
20000,150,48.1
20100,150,47.8
20200,150,48.3
20300,150,48.2
20400,150,48.0
20500,150,48.7
20600,150,48.3
20700,150,47.3
20800,150,47.3
20900,150,46.8
21000,30,46.0
